Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C105, C113, C115, C116, C117, C118, C27, C59, C60, C61, C65, C66",0402,13,0.1u,
"C10, C100, C14, C6, C69, C7, C70, C76, C77, C83, C84",0402,11,4.7u,
"C101, C103",0402,2,2u2,
"C104, C119",0805,2,100u,
C106,0603,1,4.7u,
"C107, C108, C109, C110, C111, C36",0603,6,100n,
"C11, C15, C43, C75, C82",0603,5,47u,
"C112, C58",0603,2,10u,
C114,0402,1,33n,
"C12, C13, C4, C5, C71, C72, C73, C74, C78, C79, C80, C81, C85, C86, C87, C88, C9, C96, C98, C99",0402,20,0.47u,
C16,0402,1,100nF,
"C17, C20, C21, C22, C23, C24",0603,6,1uF,
"C18, C19, C2, C57",0402,4,0.1uF,
C25,0603,1,1u,
C26,0603,1,10uF,
"C28, C29",0603,2,22uF,
C3,0603,1,3.3u,
C30,0402,1,220n,
"C31, C37, C92",0402,3,100n,
"C32, C62, C63, C64",0402,4,1u,
C33,0402,1,220p,
"C34, C35, C95",0805,3,22u,
"C38, C89, C90, C91",0402,4,22u,
C39,0603,1,22u,
"C40, C41, C42, C44, C45, C46",0402,6,12pF,
"C67, C68",CAPAE430X565N,2,EDK475M016A9BAA,
"C8, C97",0805,2,100uF,
C93,0805,1,10u,
C94,0805,1,0.1u,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",0603,10,LED,
"F1, F2",F1812,2,~,
"FB1, FB2",0603,2,120R,
IC2,TAD5242IRGER,1,TAD5242IRGER,
J1,4677,1,4677,
"J15, J16",61301611121,2,6130XX11121_61301611121,
J2,DM3D-SF,1,DM3D-SF,
"J3, J4",USB4105-GF-A-060,2,USB4105-GF-A-060,
"J5, J6",OST_USB-A1HSW6,2,USB-A1HSW6,
J7,CONN_L77HDE15SD1CH4F_AMP,1,L77HDE15SD1CH4F,
J9,SJ335083ATR,1,SJ3-35083A-TR,
L1,IND-SMD_L7.4-W6.6,1,4.7uH,
L3,IND-SMD_MPL-AL4020-R68,1,680nH,
L4,IND-SMD_L5.7-W5.2_CYA0530,1,2.2uH,
Q1,IRF9358TRPBF,1,IRF9358TRPBF,
"R1, R102, R103, R104, R112, R20, R23, R30, R5, R6, R7, R8, R9",0402,13,10k,
R10,0402,1,0,
"R100, R101, R42, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0402,32,200,
"R106, R107, R108",0402,3,270,
"R109, R110",0603,2,1k,
"R11, R12, R13, R14",0402,4,33 +- 1%,
"R111, R114",0603,2,10k,
"R113, R115, R41",0603,3,5k,
"R17, R19, R2, R3",0402,4,50,
"R18, R24, R25",0402,3,2k,
R21,0402,1,12k,
R22,0603,1,10M,
"R26, R34, R37, R38, R44, R47",0402,6,1k,
"R27, R56, R65",0402,3,150,
"R28, R50, R61",0402,3,2.2k,
"R29, R31, R32, R33",0603,4,200,
"R35, R49, R58",0402,3,1.1k,
"R36, R48, R57",0402,3,560,
"R39, R40, R43",0402,3,4.7k,
R4,0603,1,0,
R45,0402,1,49.9k,
"R46, R55, R64",0402,3,5k,
R51,0603,1,1.5M,
R52,0603,1,66.5k,
R53,0603,1,48.7k,
R54,0402,1,3.3,
"R59, R68",0402,2,100k,
R60,0603,1,100k,
R62,0603,1,499k,
R63,0402,1,499,
R66,0805,1,1k,
R67,0402,1,36k,
R69,0402,1,15k,
"S1, S2, S3, S4, S5, S6, S7",PTS647SM38SMTR2LFS,7,PTS647SM38SMTR2_LFS,
"TP1, TP2",TestPoint_Pad_D1.0mm,2,TestPoint_Probe,
U1,256_W25Q128JV,1,W25Q128JVSIQ TR,
"U11, U13",MAX3421EETJ_T,2,MAX3421EETJ+T,
U12,FT4232HPQ,1,FT4232HPQ-REEL,
"U14, U15",ESP32-WROOM-32UE_EXP,2,ESP32-WROOM-32UE-N8,
U16,MMSZ10T1G,1,MMSZ10T1G,
U18,TPS62132RGTR,1,TPS62132RGTR,
U19,FTGB196_XIL,1,XC7S50-1FTGB196C,
U2,CHIP_100.000MHZ-LC-T_ABR,1,ASEM1-100.000MHZ-LC-T,
U20,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,~,
"U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39",SOT95P280X145-6N,19,USBLC6-2SC6,
U3,CYPD3177-24LQXQT_INF,1,CYPD3177-24LQXQT,
U4,TPS62054DGS,1,AP63205WU-7,
U40,IND-SMD_L6.0-W6.0_MPL-SE6040,1,10uH,
U5,MP8756,1,MP8756GD-P,
U6,AP63205WU-7,1,TPS62054DGS,
"X2, X3, X4",CRYSTAL-SMD_4P-L3.2-W2.5-BL,3,12MHz,
