Designator,Mid X,Mid Y,Rotation,Layer
C1,99.52,-91.2,180.0,top
C10,58.02,-47.01,180.0,bottom
C11,64.577618,-43.72,0.0,bottom
C12,72.75,-52.25,0.0,bottom
C13,72.977618,-43.83,0.0,bottom
C14,72.977618,-45.8,0.0,bottom
C15,64.577618,-45.47,0.0,bottom
C16,63.75,-39.23,90.0,top
C17,23.22,-45.148554,270.0,top
C18,21.82,-44.853554,270.0,top
C19,24.62,-44.853554,270.0,top
C2,84.25,-116.3,270.0,top
C20,26.3,-47.5,0.0,top
C21,18.671992,-41.221562,225.0,top
C22,31.495,-31.25,0.0,top
C23,31.47,-29.5,0.0,top
C24,35.97,-45.948554,90.0,top
C25,38.62,-35.873554,0.0,top
C26,38.8,-80.25,0.0,top
C27,40.999998,-74.0,0.0,top
C28,45.075,-81.9,180.0,top
C29,45.075,-83.5,180.0,top
C3,107.52448,-28.5,180.0,top
C30,76.3,-25.48,270.0,top
C31,69.63,-33.975,180.0,top
C32,71.17,-23.6,180.0,top
C33,79.5,-25.0,90.0,top
C34,62.8,-26.525,270.0,top
C35,65.05,-26.525,270.0,top
C36,67.05,-26.595,270.0,top
C37,69.645,-37.15,180.0,top
C38,69.625,-31.975,180.0,top
C39,46.3,-60.625,90.0,top
C4,75.847618,-43.83,0.0,bottom
C40,117.75,-34.98,90.0,top
C41,119.25,-34.98,90.0,top
C42,66.87,-125.31,0.0,top
C43,55.27,-42.33,45.0,bottom
C44,66.87,-127.28,0.0,top
C45,66.87,-129.25,0.0,top
C46,66.66,-135.05,0.0,top
C47,66.87,-131.22,0.0,top
C48,66.87,-133.19,0.0,top
C49,69.74,-125.31,0.0,top
C5,75.847618,-45.8,0.0,bottom
C50,69.74,-127.28,0.0,top
C51,69.74,-129.25,0.0,top
C52,69.74,-131.22,0.0,top
C53,69.74,-133.19,0.0,top
C54,72.61,-125.31,0.0,top
C55,72.61,-127.28,0.0,top
C56,72.61,-129.25,0.0,top
C57,53.12,-103.895,180.0,top
C58,42.7,-52.8,180.0,top
C59,60.09,-67.42,90.0,top
C6,75.847618,-47.77,0.0,bottom
C60,96.901472,-93.531947,45.0,top
C61,97.679289,-94.309765,45.0,top
C62,94.660589,-94.660589,135.0,top
C63,93.210374,-95.455278,45.0,top
C64,94.094258,-96.339161,45.0,top
C65,93.0,-102.58,270.0,top
C66,94.1084,-102.58,270.0,top
C67,113.759999,-107.35,270.0,top
C68,107.81,-107.35,270.0,top
C69,59.04,-41.83,180.0,bottom
C7,72.23,-49.5,0.0,bottom
C70,58.02,-43.08,180.0,bottom
C71,54.02,-40.08,45.0,bottom
C72,53.02,-41.08,45.0,bottom
C73,52.02,-41.990589,45.0,bottom
C74,50.02,-43.83,45.0,bottom
C75,54.496274,-43.056274,45.0,bottom
C76,55.77,-45.58,180.0,bottom
C77,56.02,-41.33,45.0,bottom
C78,57.0,-44.33,180.0,bottom
C79,54.02,-47.33,180.0,bottom
C8,58.77,-48.58,180.0,bottom
C80,51.52,-49.58,0.0,bottom
C81,50.930589,-42.919411,45.0,bottom
C82,53.77,-43.83,45.0,bottom
C83,54.02,-48.58,180.0,bottom
C84,56.930589,-40.33,45.0,bottom
C85,51.52,-48.58,0.0,bottom
C86,51.77,-45.58,45.0,bottom
C87,52.77,-44.58,45.0,bottom
C88,51.52,-47.33,0.0,bottom
C89,69.625,-30.95,180.0,top
C9,58.02,-45.83,180.0,bottom
C90,69.625,-32.975,0.0,top
C91,69.625,-35.025,0.0,top
C92,69.625,-36.075,0.0,top
C93,82.5,-26.449999,270.0,top
C94,84.75,-26.449999,270.0,top
C95,85.5,-34.5,90.0,top
IC2,98.499533,-100.150467,0.0,top
J1,94.5,-72.5,180.0,top
J10,121.5,-88.7545,90.0,top
J11,23.0,-79.0,90.0,top
J12,22.25,-66.0045,90.0,top
J13,22.0,-54.5,270.0,top
J14,120.99974,-50.33,90.0,top
J2,124.75,-75.95,90.0,top
J3,120.5,-22.8375,180.0,top
J4,25.32,-22.693554,180.0,top
J5,27.0875,-129.363,0.0,top
J6,43.75,-129.363,0.0,top
J7,28.93,-100.25,90.0,top
J8,47.0,-24.75,180.0,top
J9,110.7475,-117.115,180.0,top
L1,45.0,-76.0,0.0,top
L2,45.1,-66.1,0.0,top
L3,76.3,-29.850001,270.0,top
L4,89.0,-33.5,90.0,top
Q1,36.72,-39.668554,180.0,top
R1,95.25,-91.25,180.0,top
R10,89.7,-99.9,270.0,top
R11,66.66,-136.8,0.0,top
R12,63.98,-125.32,0.0,top
R13,63.98,-127.31,0.0,top
R14,63.98,-129.3,0.0,top
R15,63.98,-131.29,0.0,top
R16,63.98,-133.28,0.0,top
R17,50.4,-104.404999,90.0,top
R18,100.009479,-28.25,180.0,top
R19,90.6,-107.7,180.0,top
R2,102.9,-85.8,90.0,top
R20,82.01,-115.82,0.0,top
R21,112.49948,-30.25,90.0,top
R22,96.75,-32.175,90.0,top
R23,99.99948,-31.25,180.0,top
R24,99.99948,-30.25,180.0,top
R25,100.009479,-29.25,180.0,top
R26,52.375,-51.234999,270.0,top
R27,66.75,-65.5,180.0,top
R28,66.75,-63.75,0.0,top
R29,93.17448,-53.0,0.0,top
R3,56.39,-78.96,180.0,top
